Date,Open,High,Low,Close,Adj Close,Volume
2015-02-13,541.862305,548.494080,536.038330,541.383606,541.383606,5959317
2015-02-20,541.642944,554.617310,526.803650,553.959106,553.959106,8044828
2015-02-27,552.722473,576.327698,551.386169,573.754761,573.754761,9511042
2015-03-06,573.305969,575.101074,548.952820,553.989014,553.989014,7723948
2015-03-13,551.984497,559.264526,542.729919,556.462219,556.462219,8481923
2015-03-20,560.112183,573.016785,549.142334,553.649963,553.649963,10568838
2015-03-27,551.485901,553.759644,532.385315,534.063721,534.063721,8452542
2015-04-03,530.762817,542.360962,528.120056,539.299377,539.299377,5363685
2015-04-10,540.805237,542.570374,521.787415,532.338440,532.338440,9277602
2015-04-17,527.212524,549.451477,519.583496,545.502319,545.502319,11454362
2015-04-24,564.550049,569.576233,535.049988,537.340027,537.340027,12602505
2015-05-01,538.429993,544.070007,521.085022,530.700012,530.700012,7572600
2015-05-08,536.650024,541.979980,525.000000,538.400024,538.400024,6723300
2015-05-15,539.179993,543.840027,528.849976,542.510010,542.510010,8835100
2015-05-22,540.150024,544.190002,529.880005,539.780029,539.780029,6137500
2015-05-29,537.369995,543.500000,529.760010,536.700012,536.700012,9506000
2015-06-05,536.349976,538.979980,523.010010,534.609985,534.609985,7396600
2015-06-12,531.599976,538.150024,524.000000,536.729980,536.729980,6787600
2015-06-19,537.210022,543.739990,533.010010,535.229980,535.229980,6963600
2015-06-26,537.260010,537.760010,518.229980,523.400024,523.400024,9461000
2015-07-03,519.500000,526.179993,515.179993,520.679993,520.679993,6016700
2015-07-10,526.289978,580.679993,525.549988,579.849976,579.849976,13960200
2015-07-17,649.000000,678.640015,641.000000,644.280029,644.280029,27361400
2015-07-24,647.000000,648.169983,620.500000,632.590027,632.590027,11077700
2015-07-31,631.380005,647.859985,625.340027,642.679993,642.679993,8408400
2015-08-07,640.229980,674.900024,629.710022,656.450012,656.450012,12989700
2015-08-14,655.010010,667.000000,642.900024,646.830017,646.830017,8569300
2015-08-21,639.780029,643.590027,565.049988,637.609985,637.609985,21300700
2015-08-28,632.820007,636.880005,594.099976,606.250000,606.250000,12192700
2015-09-04,600.000000,626.520020,595.250000,621.349976,621.349976,7975900
2015-09-11,619.750000,650.900024,617.419983,642.900024,642.900024,8721400
2015-09-18,636.789978,640.000000,612.400024,625.799988,625.799988,13195800
2015-09-25,629.770020,629.770020,589.380005,611.289978,611.289978,11892200
2015-10-02,607.200012,650.609009,603.130005,639.159973,639.159973,10929500
2015-10-09,640.000000,663.130005,635.317993,661.739990,661.739990,8032800
2015-10-16,664.109985,666.820007,641.729980,651.789978,651.789978,11448700
2015-10-23,727.500000,730.000000,701.260010,716.919983,716.919983,15251200
2015-10-30,715.729980,739.479980,705.849976,731.250000,731.250000,8928800
2015-11-06,731.500000,741.000000,718.500000,731.229980,731.229980,8393000
2015-11-13,729.169983,742.000000,711.330017,738.409973,738.409973,8503700
2015-11-20,746.530029,762.708008,737.630005,748.150024,748.150024,7082000
2015-11-27,748.460022,775.955017,741.270020,752.539978,752.539978,9891700
2015-12-04,753.099976,768.729980,737.000977,749.460022,749.460022,11087500
2015-12-11,741.159973,762.679993,724.169983,749.429993,749.429993,10849800
2015-12-18,746.510010,754.849976,738.150024,748.400024,748.400024,8132900
2015-12-25,752.919983,779.979980,749.520020,758.880005,758.880005,6074500
2016-01-01,743.000000,752.000000,719.059998,726.390015,726.390015,10134200
2016-01-08,731.450012,734.739990,689.099976,714.719971,714.719971,11293500
2016-01-15,692.289978,719.190002,673.260010,706.590027,706.590027,11733400
2016-01-22,723.599976,733.690002,694.390015,730.960022,730.960022,9925800
2016-01-29,731.530029,789.869995,701.859985,708.010010,708.010010,26301300
2016-02-05,703.869995,703.989990,663.059998,683.109985,683.109985,18624000
2016-02-12,690.260010,712.349976,678.599976,697.349976,697.349976,9037200
2016-02-19,695.030029,713.239990,680.780029,705.750000,705.750000,9154200
2016-02-26,708.580017,720.000000,697.679993,712.419983,712.419983,10463000
2016-03-04,714.989990,716.489990,685.340027,712.820007,712.820007,11288500
